1565527626,0,19,14,15,2.27,1614934938304
1591679047,0,7,10,6,1.18,1623679598149
1591903179,0,10,6,9,2.71,1623769124952
1591906136,0,9,6,6,2.14,1623773319413
1594162039,0,8,11,20,2.33,1624551538752
1594143044,0,10,7,25,4.38,1624553248783
1594163365,1,20,7,32,6.5,1624554781669
1594163912,0,5,8,3,0.89,1624556485872
1594134409,0,5,11,13,1.5,1624557599053
1594252461,0,6,6,4,1.43,1624617187663
1594959118,0,13,18,36,2.58,1624894055048
1594940881,0,11,9,22,3.3,1624896144353
1594951325,0,8,10,7,1.36,1624897648169
1595011625,1,9,6,26,5.0,1624898987810
1594992290,0,14,13,12,1.86,1624900100080
1595344115,1,10,7,28,4.75,1625067099852
1595354778,1,13,7,23,4.5,1625068248597
1595345579,0,13,16,35,2.82,1625069509812
1595405685,0,5,10,14,1.73,1625114783553
1595728189,1,31,13,37,4.86,1625149431662
1595700892,1,9,5,17,4.33,1625151418601
1595731903,0,17,7,16,4.12,1625152498630
1595742863,0,5,12,17,1.69,1625153972104
1595743664,0,8,8,20,3.11,1625155303081
1595744340,0,10,14,39,3.27,1625156594620
1595745230,0,36,7,31,8.38,1625158660278
1596013903,0,6,8,27,3.67,1625287903792
1596156942,1,4,2,20,8.0,1625330323774
1596157464,0,10,13,29,2.79,1625331254482
1596139118,1,16,8,19,3.89,1625332611182
1596339291,1,8,3,19,6.75,1625411836617
1596378774,1,10,9,28,3.8,1625413033925
1596379603,0,2,11,33,2.92,1625414309837
1596351223,0,14,15,17,1.94,1625415840781
1596391808,0,12,8,30,4.67,1625417233674
1596382926,0,7,9,8,1.5,1625418833336
1596390839,1,23,14,19,2.8,1625460998266
1596563864,1,16,5,18,5.67,1625497470212
1596585407,0,12,7,29,5.12,1625542153037
1596604846,1,9,9,18,2.7,1625543564558
1596586273,1,13,13,32,3.21,1625544862255
1596720315,0,14,9,9,2.3,1625583769983
1596741775,1,20,7,29,6.12,1625584937096
1596889101,0,5,7,16,2.62,1625671816107
1596889788,0,8,10,14,2.0,1625672942834
1596890383,0,16,12,13,2.23,1625674003850
1597517081,1,17,13,18,2.5,1625845749854
1597488589,0,24,13,27,3.64,1625847214440
1597509368,0,10,8,31,4.56,1625849143111
1597500287,0,1,8,32,3.67,1625850680488
1597997408,1,6,5,12,3.0,1626066581171
1598132854,1,13,11,25,3.17,1626103598810
1598153268,1,20,6,17,5.29,1626105004885
1598134450,1,14,6,17,4.43,1626106237241
1598291027,1,9,2,22,10.33,1626190160221
1598331706,1,9,5,16,4.17,1626191150551
1598342225,1,14,11,19,2.75,1626192054000
1598362784,0,21,10,23,4.0,1626193853279
1598353374,0,22,16,24,2.71,1626195350104
1598344503,1,16,5,22,6.33,1626197276683
1598344859,1,17,4,22,7.8,1626198428831
1598359417,1,15,5,17,5.33,1626228411796
1598359708,0,7,8,22,3.22,1626229473629
1600631101,0,5,6,17,3.14,1627048240929
1600691997,1,15,7,32,5.88,1627049208541
1600693753,1,6,1,14,10.0,1627050913094
1600694693,1,16,11,28,3.67,1627051874269
1602511175,1,9,9,13,2.2,1627748157500
1602875808,1,12,3,19,7.75,1627913615212
1602876814,1,19,10,22,3.73,1627914723695
1602887869,0,17,13,16,2.36,1627916581756
1603093445,1,14,13,19,2.36,1628003094432
1603247773,1,7,13,28,2.5,1628087512436
1604177070,1,16,1,8,12.0,1628432038766
1604206618,1,6,6,21,3.86,1628432845468
1604207665,0,8,16,26,2.0,1628434085822
1604180030,0,4,10,10,1.27,1628435614142
1604190597,1,11,4,15,5.2,1628436614209
1604371888,1,12,8,15,3.0,1628519761357
1604391870,0,8,11,20,2.33,1628520885511
1604402565,0,11,13,23,2.43,1628522286176
1604393710,1,17,12,32,3.77,1628523608402
