序号,书名,作者,出版年份,链接
58,Python编程导论（第2版）,[美] John V. Guttag , 2018-2-1 ,https://book.douban.com/subject/30155590/
59,Python,北京大学出版社, 2018-2-1 ,https://book.douban.com/subject/34446573/
60,Python金融大数据挖掘与分析全流程详解,王宇韬，房宇亮，肖金鑫 等 著 , 2019-9-1 ,https://book.douban.com/subject/34811483/
61,Python极简讲义：一本书入门数据分析与机器学习,张玉宏 , 2020-5 ,https://book.douban.com/subject/35044749/
62,Python Playground : Geeky Projects for the Curious Programmer,Mahesh Venkitachalam , 2015-11-7 ,https://book.douban.com/subject/26284936/
63,Python程序设计,陈春晖 , 2019-1 ,https://book.douban.com/subject/30498807/
64,Python数字信号处理应用,[美]艾伦·唐尼（Allen B.Downey） , 2018-12 ,https://book.douban.com/subject/30150911/
65,Python绘图指南——分形与数据可视化（全彩）,胡洁 , 2021-9 ,https://book.douban.com/subject/35580994/
66,例解Python：Python编程快速入门践行指南,张志刚 , 2020-12 ,https://book.douban.com/subject/35296847/
67,Python编程自学手册,史向东 等 , 2020-3 ,https://book.douban.com/subject/35013260/
68,python程序设计与实现,冯林 , 2015-11 ,https://book.douban.com/subject/26789113/
69,Python编程超级魔卡,暂无作者,21-Jan,https://book.douban.com/subject/26789113/
70,Problem Solving with Algorithms and Data Structures Using Python (2/e),Bradley N. Miller , 2011-8-22 ,https://book.douban.com/subject/21325184/
71,Python数学实验与建模,司守奎 , 2020-4-1 ,https://book.douban.com/subject/35066598/
72,Python for Data Analysis (3/e),Wes McKinney , 2022-9,https://book.douban.com/subject/35563599/
73,Python程序设计,暂无作者,21-Jan,https://book.douban.com/subject/34868150/
74,Python机器学习基础教程,[德] 安德里亚斯·穆勒 , 2018-1 ,https://book.douban.com/subject/30147778/
75,Python机器学习,[印]阿布舍克·维贾亚瓦吉亚（Abhishek Vijayvargia） , 2019-2 ,https://book.douban.com/subject/30761945/
76,Python自然语言处理,(英)伯德 , 2010-6 ,https://book.douban.com/subject/5336893/
77,Python一行流 : 像专家一样写代码,[美] Christian Mayer , 2021-10 ,https://book.douban.com/subject/35602079/
78,Python灰帽子 : 黑客与逆向工程师的Python编程之道,[美] Justin Seitz , 2011-3 ,https://book.douban.com/subject/6025284/
79,Python量化交易,张杨飞 , 2019-5 ,https://book.douban.com/subject/33452830/
80,Learning Python : Powerful Object-Oriented Programming,Mark Lutz , 2009-10-9 ,https://book.douban.com/subject/3988517/
81,"Fluent Python, 2nd Edition : Clear, Concise, and Effective Programming",Luciano Ramalho , 2021-1-1 ,https://book.douban.com/subject/34990079/
82,Python高级编程,Tarek Ziadé , 2010-1 ,https://book.douban.com/subject/4212921/
83,Python计算机视觉编程,[瑞典] Jan Erik Solem , 2014-6-10 ,https://book.douban.com/subject/25906843/
84,Python算法教程,[挪威] Magnus Lie Hetland 赫特兰 , 2016-1-1 ,https://book.douban.com/subject/26699412/
85,从Python开始学编程,Vamei , 2016-11-24 ,https://book.douban.com/subject/26919485/
86,Using Asyncio in Python : Understanding Python's Asynchronous Programming Features,Caleb Hattingh , 2020-2-18 ,https://book.douban.com/subject/34813806/
87,机器学习之Python[豆瓣阅读专栏],994 人订阅, 2020-2-18 ,https://read.douban.com/column/6939417/?dcs=book-search
88,Python数据分析与挖掘实战,张良均 , 2016-1 ,https://book.douban.com/subject/26677686/
89,Python编程实践,Jennifer Campbell , 2011-12-31 ,https://book.douban.com/subject/7059900/
90,Python网络数据采集,米切尔 (Ryan Mitchell) , 2016-3-1 ,https://book.douban.com/subject/26740503/
91,对比Excel，轻松学习Python数据分析,张俊红 , 2019-2 ,https://book.douban.com/subject/30443577/
92,Python语言入门,[美] Mark Lutz , 2001-4 ,https://book.douban.com/subject/1239501/
93,Python自动化运维 : 技术与最佳实践,刘天斯 , 2014-11-1 ,https://book.douban.com/subject/26258735/
94,"Python Crash Course : A Hands-On, Project-Based Introduction to Programming",Eric Matthes , 2015-11-1 ,https://book.douban.com/subject/26284937/
95,Think Python : How to Think Like a Computer Scientist,Allen B. Downey , 2012-8-23 ,https://book.douban.com/subject/10779534/
96,用Python实现深度学习框架,张觉非 , 2020-10-12 ,https://book.douban.com/subject/35223198/
97,Python科学计算,张若愚 , 2012-1 ,https://book.douban.com/subject/7175280/
98,Python机器学习及实践 : 从零开始通往Kaggle竞赛之路,范淼 , 2016-10-1 ,https://book.douban.com/subject/26886337/
99,python绝技：运用python成为顶级黑客 : 运用Python成为顶级黑客,[美] TJ O'Connor , 2016-1 ,https://book.douban.com/subject/26702570/
100,可爱的Python,哲思社区 , 2009-9 ,https://book.douban.com/subject/3884108/
101,机器学习算法的数学解析与Python实现,莫凡 , 2020-1-20 ,https://book.douban.com/subject/34933305/
102,Python Machine Learning,Sebastian Raschka , Packt Publishing - ebooks Account ,https://book.douban.com/subject/26629312/
103,Advanced Python 3 Programming Techniques,Mark Summerfield , Addison-Wesley Professional ,https://book.douban.com/subject/33463979/
104,Python数据结构与算法分析（第2版）,[美] 布拉德利·米勒 , 2019-9-20 ,https://book.douban.com/subject/34785178/
105,Python金融编程 : 快速入门与项目实操,高顿财经研究院 , 2020-1 ,https://book.douban.com/subject/34934076/
106,Python自然语言处理实战 : 核心技术与算法,涂铭 , 2018-5 ,https://book.douban.com/subject/30247776/
107,Python深度学习：基于PyTorch,吴茂贵 , 2019-11-1 ,https://book.douban.com/subject/34873001/
108,Data Structures and Algorithms in Python,Michael T. Goodrich , 2013-7-5 ,https://book.douban.com/subject/10607365/
109,Python高性能编程,【美】 戈雷利克 （Micha Gorelick） , 2017-7-1 ,https://book.douban.com/subject/27064848/
110,Python图像处理实战,[印度] 桑迪潘·戴伊（Sandipan Dey） , 2020-12 ,https://book.douban.com/subject/35263824/
111,Python核心编程（第二版）,[美]Wesley J. Chun（陳仲才） , 2008-06 ,https://book.douban.com/subject/3112503/
112,程序员学Python,裘宗燕 , 2019-9 ,https://book.douban.com/subject/30310942/
113,Python数据挖掘入门与实践,[澳] Robert Layton , 2016-7 ,https://book.douban.com/subject/26826540/
114,"Python for Data Analysis : Data Wrangling with Pandas, NumPy, and IPython",Wes McKinney , 2012-11-1 ,https://book.douban.com/subject/10760444/
115,用Python写网络爬虫,[澳]理查德 劳森 , 2016-8-1 ,https://book.douban.com/subject/26869992/
116,Python爬虫开发与项目实战,范传辉 , 2017-6 ,https://book.douban.com/subject/27061630/
117,Python与量化投资 : 从基础到实战,王小川 , 2018-3 ,https://book.douban.com/subject/30190107/
118,Python编程与应用实践,暂无作者,21-Jan,https://book.douban.com/subject/30190107/
119,Python Web开发实战,董伟明 , 2016-9-15 ,https://book.douban.com/subject/26852057/
120,Automate the Boring Stuff with Python : Practical Programming for Total Beginners,Albert Sweigart , 2015-2-25 ,https://book.douban.com/subject/26284938/
121,自己动手写Python虚拟机,海纳 , 2019-6 ,https://book.douban.com/subject/34442805/
122,Flask Web开发：基于Python的Web应用开发实战,[美] Miguel Grinberg , 2014-12 ,https://book.douban.com/subject/26274202/
123,FUNDAMENTALS PYTHON PYTHON POWER,LAMBERT TELLES, 2014-12 ,https://book.douban.com/subject/17139805/
124,Python,暂无作者,21-Jan,https://book.douban.com/subject/17139805/
125,Python : Visual QuickStart Guide,Toby Donaldson , 2013-7-1,https://book.douban.com/subject/25789709/
126,Python程序设计（第3版）,[美] John Zelle , 2018-1-12 ,https://book.douban.com/subject/27662927/
127,Python,Chris Fehily , 2018-1-12 ,https://book.douban.com/subject/11930683/
128,Python : An Introduction to Programming,J. R. Parker , 2016-11-30 ,https://book.douban.com/subject/26917066/
129,Pythons,Julie Fiedler , 2007-8-1 ,https://book.douban.com/subject/4536271/
130,Pythons,"Raatma, Lucia ", 2012-9 ,https://book.douban.com/subject/11238648/
131,Python : Visual QuickStart Guide,Toby Donaldson , 2013-7-15 ,https://book.douban.com/subject/24133123/
132,Python : Data Analytics and Visualization,Phuong Vo.T.H , 2017-4-11 ,https://book.douban.com/subject/27036778/
133,Python,Istochnik Wikipedia, 2017-4-11 ,https://book.douban.com/subject/15200662/
134,Python : Create - Modify - Reuse,James O. Knowlton , 2008-07-08 ,https://book.douban.com/subject/3241928/
135,Python,"Somervill, Barbara A. ", 2010-1 ,https://book.douban.com/subject/6694922/
136,Python,"Allyn, Daisy ", 2010-1 ,https://book.douban.com/subject/10110719/
137,Python,暂无作者,21-Jan,https://book.douban.com/subject/10110719/
138,Python : Guia De Referencia/ Reference Guide (Spanish Edition),Alex Martelli , 2008-01-02 ,https://book.douban.com/subject/3296913/
139,Python : The Complete Reference,Martin Brown ,McGraw-Hill ,https://book.douban.com/subject/1467937/
140,Python : \A Shiver Waiting for a Spine to Run Up\"","Nolan, Carina; Taymore, Myles;",McGraw-Hill ,https://book.douban.com/subject/17534279/
141,PYTHON,BOOK ON DEMAND POD,McGraw-Hill ,https://book.douban.com/subject/18112438/
142,Python,Dzherelo Wikipedia,McGraw-Hill ,https://book.douban.com/subject/15370830/
143,Python,"Fontenrose, Joseph ", Biblo-Moser ,https://book.douban.com/subject/2384717/
144,Python,"Allyn, Daisy ", Biblo-Moser ,https://book.douban.com/subject/10207275/
145,"Python : International Mathematics and Statistics Library, Bazaar, Karrig",Livres Groupe, Biblo-Moser ,https://book.douban.com/subject/14263115/
