书籍名称,作者,出本社,当前价钱
零基础学Python（全彩版）,[中国]明日科技(Mingri Soft),吉林大学出版社,¥69.50
Python编程 从入门到实践 第2版,[美]埃里克·马瑟斯（Eric Matthes）,人民邮电出版社,¥84.50
Python爬虫技术——深入理解原理、技术与开发,李宁,清华大学出版社,¥78.60
Python编程快速上手 让繁琐工作自动化 第2版,[美]阿尔·斯维加特（Al Sweigart）,人民邮电出版社,¥83.50
利用Python进行数据分析（原书第2版）,[美]韦斯·麦金尼（Wes McKinney）,机械工业出版社,¥110.50
用Python编程和实践！数学教科书,[日] 我妻 幸长 著,水利水电出版社,¥83.90
Python项目开发案例集锦（全彩版）,[中国]明日科技(Mingri Soft),吉林大学出版社,¥111.40
DK编程真好玩：9岁开始学Python,[英]克雷格·斯蒂尔等 著，爱心树童书 出品,南海出版公司,¥118.00
Python编程超级魔卡(全彩版),[中国]明日科技(Mingri Soft),吉林大学出版社,¥14.90
