PartitionDay,RecvTime,ExchTime,OrderId,ExecutionId,ContractId,Price,Volume,OrderDirection,PnL,Fee
20211210,637747271240985465,637747271230000000,3415138880000062,10698421,11601878,13.21,100,Sell,-3.75,0.85
20211210,637747271259211688,637747271250000000,3415119380000082,102000014904174,21000697,9.0,800,Sell,-3.5028,4.46
20211210,637747271268080680,637747271260000000,3415114620000070,10707115,11603613,112.07,100,Sell,12.9866,7.17
20211210,637747271274859139,637747271270000000,3415116730000168,101000014654429,21002858,18.33,300,Sell,-1.5,3.41
20211210,637747271283301288,637747271280000000,3415126450000072,10712585,11600105,5.07,100,Buy,-0.3983,0.32
20211210,637747271284396915,637747271280000000,3415137580000074,102000014916303,21002662,4.01,1800,Buy,-9.0147,4.48
20211210,637747271292517754,637747271280000000,3415140820000086,10715961,11600219,4.85,600,Buy,-3.9375,1.86
20211210,637747271292612108,637747271280000000,3415140820000086,10715960,11600219,4.85,900,Buy,-5.9062,2.79
20211210,637747271292612388,637747271280000000,3415140820000086,10715962,11600219,4.85,100,Buy,-0.6562,0.31
20211210,637747271301579405,637747271290000000,3415120800000028,10719699,11601598,4.57,100,Buy,0.176,0.29
20211210,637747271304245673,637747271300000000,3415139070000058,10720611,11600477,3.89,800,Buy,4.0064,1.99
20211210,637747271307273613,637747271300000000,3415117140000044,103000014701581,21002707,5.27,100,Sell,1.7552,0.33
20211210,637747271318646239,637747271310000000,3415134980000056,104000014284988,21002097,10.32,700,Buy,7.9972,4.48
20211210,637747271319524219,637747271310000000,3415115230000082,10725761,11601208,16.91,400,Sell,-10.0,4.33
20211210,637747271342618283,637747271330000000,3415120340000070,10733030,11603006,10.32,100,Sell,2.6667,0.66
20211210,637747271346178809,637747271340000000,3415121860000120,10734514,11601001,9.89,400,Buy,1.7887,2.53
20211210,637747271346212941,637747271340000000,3415127940000084,101000014685623,21002067,3.99,1800,Buy,9.6177,4.45
20211210,637747271363612741,637747271360000000,3415121860000120,10739755,11601001,9.89,400,Buy,1.7887,2.53
20211210,637747271372512147,637747271370000000,3415124090000142,101000014696581,21000420,5.96,1300,Buy,18.9127,4.8
20211210,637747271373945308,637747271370000000,3415140000000086,104000014308656,21002361,5.5,1300,Sell,6.5,4.43
20211210,637747271374483436,637747271370000000,3415128150000072,10743350,11600131,18.0,200,Sell,2.1377,2.3
20211210,637747271376678946,637747271370000000,3415115380000070,10744020,11600885,74.1,400,Sell,-39.6949,18.97
20211210,637747271377611335,637747271370000000,3415114450000066,10744122,11605189,24.57,300,Sell,-8.1799,4.72
20211210,637747271404079303,637747271400000000,3415139430000068,104000014321594,21002675,15.43,100,Sell,1.798,0.96
20211210,637747271406932007,637747271400000000,3415144000000074,10753900,11600770,6.65,1100,Sell,5.9027,4.68
20211210,637747271410002253,637747271400000000,3415125080000178,102000014969212,21300240,9.46,800,Buy,7.9732,4.69
20211210,637747271412653506,637747271410000000,3415142370000036,10755831,11600438,48.0,100,Buy,-10.487,3.07
20211210,637747271425974000,637747271420000000,3415139430000068,104000014332595,21002675,15.43,300,Sell,5.394,2.87
20211210,637747271438648180,637747271430000000,3415142080000104,10765584,11600330,15.39,500,Buy,-10.6818,4.92
20211210,637747271448570154,637747271440000000,3415138540000078,103000014765019,21300253,14.6,500,Buy,8.3518,4.53
20211210,637747271460245382,637747271450000000,3415141950000090,10777148,11600773,27.78,300,Buy,19.1786,5.33
20211210,637747271486045668,637747271480000000,3415125670000036,10788315,11688155,121.54,100,Buy,49.4496,7.78
20211210,637747271497856707,637747271490000000,3415115610000060,10794071,11600704,6.04,1200,Sell,-6.0001,4.64
20211210,637747271502359826,637747271490000000,3415117830000114,10794840,11601567,14.93,100,Sell,5.0,0.96
20211210,637747271502392017,637747271490000000,3415117830000114,10794843,11601567,14.93,100,Sell,5.0,0.96
20211210,637747271502444382,637747271490000000,3415117830000114,10794841,11601567,14.93,200,Sell,10.0,1.91
20211210,637747271502444428,637747271490000000,3415117830000114,10794842,11601567,14.93,100,Sell,5.0,0.96
20211210,637747271510779556,637747271510000000,3318123730000008,102000015026297,21000561,7.81,200,Sell,0.0,0.97
20211210,637747271511778739,637747271500000000,3415143790000070,10799156,11600696,34.96,100,Buy,0.4167,2.24
20211210,637747271514945273,637747271510000000,3415124560000082,10801077,11601216,5.74,1300,Buy,-20.3596,4.78
20211210,637747271519739112,637747271510000000,3318111360000066,104000014386204,21000762,54.2,200,Buy,86.0,6.72
20211210,637747271522145287,637747271510000000,3415120470000058,10803687,11601872,4.52,100,Buy,0.985,0.29
20211210,637747271527115490,637747271520000000,3318123730000008,102000015033707,21000561,7.81,100,Sell,0.0,0.48
20211210,637747271527115542,637747271520000000,3318123730000008,102000015033715,21000561,7.81,100,Sell,0.0,0.48
20211210,637747271530679532,637747271520000000,3318116390000058,10806622,11600499,25.35,300,Buy,6.0,4.87
20211210,637747271530711902,637747271520000000,3318116390000058,10806623,11600499,25.35,200,Buy,4.0,3.24
20211210,637747271541477472,637747271540000000,3415140410000102,101000014788748,21002738,74.9,100,Buy,-15.5,4.64
20211210,637747271541725194,637747271530000000,3415137720000102,10811335,11600079,20.85,700,Sell,-17.5,9.34
20211210,637747271552713632,637747271540000000,3415115690000118,10815432,11600577,8.07,800,Sell,-4.0125,4.13
20211210,637747271565244176,637747271560000000,3415142510000104,10819746,11600516,12.02,600,Buy,-27.0,4.62
20211210,637747271572178857,637747271570000000,3318123730000008,102000015056252,21000561,7.81,1300,Sell,0.0,6.29
20211210,637747271576979365,637747271570000000,3415141870000066,10823093,11600308,6.22,1100,Buy,5.5107,4.38
20211210,637747271586177047,637747271580000000,3415134910000018,10826599,11600649,3.99,100,Sell,0.613,0.26
20211210,637747271597912241,637747271590000000,3318123730000008,102000015068746,21000561,7.81,1000,Sell,0.0,4.84
20211210,637747271600242067,637747271600000000,3318123730000008,102000015069681,21000561,7.81,300,Sell,0.0,1.45
20211210,637747271605719394,637747271600000000,3415134570000096,103000014851772,21002043,10.21,700,Sell,11.4176,4.43
20211210,637747271612378608,637747271610000000,3415137310000060,103000014854227,21000860,39.09,100,Buy,18.1111,2.42
20211210,637747271636278997,637747271630000000,3415143460000126,101000014832672,21002939,13.71,500,Buy,2.8409,4.25
20211210,637747271643945653,637747271640000000,3415118290000108,10846627,11601702,13.18,500,Sell,-1.412,4.22
20211210,637747271644045517,637747271640000000,3415118290000108,10846626,11601702,13.18,100,Sell,-0.2824,0.84
20211210,637747271656712025,637747271650000000,3415126780000060,10850869,11600522,17.41,113,Sell,6.1286,1.26
20211210,637747271658444289,637747271650000000,3415126780000060,10851059,11600522,17.41,87,Sell,4.7185,0.97
20211210,637747271676857934,637747271670000000,3415126710000100,10857535,11600406,41.34,100,Buy,-13.7,2.65
20211210,637747271684090617,637747271680000000,3415126710000100,10859450,11600406,41.34,100,Buy,-13.7,2.65
20211210,637747271716878889,637747271710000000,3415122130000110,103000014900604,21002878,16.35,700,Buy,-48.3681,7.1
20211210,637747271718993672,637747271710000000,3415122330000070,10871680,11603158,16.35,400,Buy,14.4444,4.19
20211210,637747271734837577,637747271730000000,3415141040000090,10876401,11600389,38.09,200,Buy,-17.1481,4.88
20211210,637747271743379348,637747271740000000,3415141250000068,10879657,11605259,33.08,100,Sell,1.9703,2.12
20211210,637747271744446020,637747271740000000,3415142440000090,10879969,11601952,12.35,600,Sell,6.9687,4.74
20211210,637747271748779809,637747271740000000,3415142020000098,102000015139526,21002236,25.59,200,Sell,-2.9284,3.17
20211210,637747271751778815,637747271750000000,3415126970000100,102000015140456,21000938,25.8,500,Sell,5.0,8.0
20211210,637747271762278835,637747271760000000,3415133890000140,101000014890862,21000682,7.79,1800,Buy,-18.0,8.69
20211210,637747271783560067,637747271780000000,3415119250000128,10892416,11603786,77.77,100,Buy,-3.8493,4.98
20211210,637747271795600649,637747271790000000,3415122130000110,103000014936675,21002878,16.35,300,Buy,-20.7292,3.04
20211210,637747271851667611,637747271850000000,3318110720000014,101000014930047,21000626,20.03,500,Sell,0.0,6.21
20211210,637747271851671282,637747271850000000,3318110720000014,101000014930049,21000626,20.03,600,Sell,0.0,7.45
20211210,637747271862612073,637747271860000000,3415136200000108,102000015190596,21002837,45.47,100,Sell,10.8616,2.82
20211210,637747271867455962,637747271860000000,3415134300000182,104000014537880,21000692,4.02,1900,Buy,-8.4146,4.74
20211210,637747271888624332,637747271880000000,3318117760000108,103000014976632,21000893,20.96,200,Sell,-0.1,2.6
20211210,637747271892011463,637747271890000000,3318117760000108,103000014978569,21000893,20.96,600,Sell,0.0,7.8
20211210,637747271915874635,637747271910000000,3415124370000130,102000015213227,21000811,12.93,600,Sell,19.887,4.81
20211210,637747271975659038,637747271970000000,3318125640000102,103000015013165,21002722,15.25,100,Buy,0.0,0.95
20211210,637747272000971754,637747272000000000,3415128020000082,104000014590300,21000403,29.11,500,Buy,-6.2025,9.02
