序号,年份,省份,科类,考试类型,专业,录取批次,省控线,录取最低分,最低分位次,录取最高分,平均分,最低分差分差,平均分分差,录取人数,备注
1,2021,重庆市,物理类,普通类,地理科学类,地方专项,446,579,22949,599,581,133,135,9,
2,2021,重庆市,物理类,普通类,地理科学类,本科批,446,567,28250,591,574,121,128,84,
3,2020,重庆市,文史,普通类,地理科学,本科提前批,536,563,,584,567,27,31,35,师范
4,2020,重庆市,文史,普通类,地理科学,地方专项,536,555,,561,557,19,21,8,师范
5,2019,重庆市,文史,普通类,地理科学,地方专项,545,551,,556,553.2,6,8.2,6,师范
6,2019,重庆市,文史,普通类,地理科学,本科提前批,545,564,,585,570.1,19,25.1,27,师范
7,2018,重庆市,文史,普通类,地理科学,本科一批,524,543,,569,550,19,26,35,
8,2017,重庆市,文史,普通类,地理科学,本科二批,436,531,,538,533.9,95,97.9,22,
