评论人昵称,星级,等级,时间,有用数,评语
青川,3,还行,2021-09-27 13:31:43,252,"
电影的整体水平我觉得在介于《八佰》和《红海》之间，算是很有诚意的战争大片。
故事背景交代的还挺清楚，对于不了解抗美援朝战争的观众很友好。
战争场景很真实宏大，有三场大型的战役刻画的很鲜明和残酷，画面的推进很震撼，虽然不是3D的，片子所呈现出的立体感，完全可以做到沉浸式观影。
人物塑造每个角色都很鲜明，起码是立体的，不像《中国医生》人物都是扁平化。四字弟弟从初入军队到最后的结尾，有很清晰的成长线。吴京就还是《战狼》那样，胡军和朱亚文正常发挥，李晨再一次证明了不会演戏，让我特别惊喜的是韩东君竟然是有演技的，他可以走欧豪那种路线哎，其他角色基本都是工具人，没啥可说的。
没有想到一个战争片笑点竟然很多，突然就有那么一下子打破了战争压抑的氛围。
缺点就是文戏和战争戏有割裂感，这也是联合导演造成的通病，
"
让我睡一会,5,力荐,2021-09-29 15:17:28,2115,"
认真安利《长津湖》，特别被电影所传达的信仰所打动，有场面、有故事、有力量！ 每个演员的表演都很有穿透力，其中印象最深的是胡军饰演的如此硬汉形象的雷公，在奄奄一息的时候说：“你们别把我一个人就在这，我不想死啊，我好疼啊。”眼泪止不住的流，再一往无前的战士，本质也是跟我们一样的普通人，他也会疼也会怕死，但还是义无反顾的保护战友、保护国家
"
李枫,5,力荐,2021-10-08 14:25:55,448,"
卧槽尼玛的美国鬼子
"
kyoyuki胤,5,力荐,2021-09-29 23:42:23,1574,"
个十百千万，千千万！山河无恙，致敬我们最可爱的人！三大导演齐上阵，各有千秋，但影片整体效果呈现得不错又和谐，叙事完整、节奏流畅、有血有肉，看三个小时没问题。瑕不掩瑜，这应该是目前战争片里最好看的一部了，镜头画面真挚，没有什么冗余部分，甚至还想延长些补充完整点。第六百七十七名！加油！
"
Aurora,3,还行,2021-10-01 10:29:10,239,"
没有我想象中好看吧，也有可能是想通过一些轻松幽默的场面化解战争的苦痛？感觉更像是贺岁片（不知道该用什么词）
"
遥远的他,5,力荐,2021-09-29 21:15:08,2118,"
中国第一部史诗级战争片（真正的！）投资十三亿，三大导演陈凯歌、徐克、林超贤，顶级领衔主演吴京、易烊千玺，《长津湖》值得如此阵容！
"
胡西湖溪,5,力荐,2021-09-30 18:07:26,1023,"
太震撼了，太值票价了，画面和特效真的惊得我无以复加，七连的插科打诨，一起作战，每次美军空袭的画面都会震惊的我无以复加，也深刻认识到，从装备到作战人员，志愿军和美军的差距，也看到了志愿军的万众一心与众志成城，看完了，我真的可以看到导演和演员对这部电影的用心，从声乐，从画面，从特效，只能用震撼来说明，绝对是我看过最震撼的战争片。说完了优点，还是要说一点缺点，凯子哥，你的画面确实一如既往的美，但是你确实是给超贤导演和徐克导演拖后腿了，后半段的文戏水到渠成和战争画面融合的很好，但是前半段的文戏有时候我真的有点一头雾水，抒情来的莫名其妙，好在后面强大的战争画面和特效立住了抒情的前提。总之，绝对值得票价，也绝对值得去看，凯子哥的瑕疵不值一提
"
你看起来很好吃,4,推荐,2021-10-10 22:12:59,139,"
没有金刚川那么能代入情绪，不过胡军演的真好，摸着鼻子和脖子里流出的血的害怕的表情，小人物就是应该怕死然后有些事情又必须要去做，这样才够真实。吴京中规中矩，段奕宏也是。我想不明白为何非要用人命去堆出战争的胜利，确实在装备大幅度落后的情况下就得靠意志，但是他们自己就真的愿意牺牲吗？有没有别的途径呢？不得而知。那个年代，又感人又悲壮又无奈。
"
东风殇,5,力荐,2021-09-29 22:18:24,2932,"
电影太震撼了，真实还原了长津湖战争的过程，展现了最可爱的战士们朴实又坚韧的精神。易烊千玺又一次挑战自己，虽然有一点之前的影子，不过很好的诠释了这个人物，通过这个孩子成长的过程，侧面反映了战争的残酷无情。胡军这次演绎雷爹很丰满，最后太好哭了，这么可爱的人居然还是牺牲了。电影很棒，具有史诗级的作品，国产的战争片又有了很大的进步。
"
无处安放,3,还行,2021-10-01 17:36:02,371,"
很失望，煽情部分太多，剧情有点混乱，有些地方特效一般般，提前离场了。
"
