fips,cases,deaths,date
46102,4.547159121327417,2.7481880270062007,2022-01-26
46103,5.484726804298662,3.4857214264815797,2022-01-26
46105,3.8007170782823847,2.2041199826559246,2022-01-26
46107,3.8095597146352675,1.7781512503836434,2022-01-26
46109,4.343211590179747,2.662757831681574,2022-01-26
46111,3.7315887651867388,1.6989700043360187,2022-01-26
46115,4.12057393120585,2.505149978319906,2022-01-26
46117,3.7839035792727347,1.7781512503836434,2022-01-26
46119,3.3692158574101425,1.4771212547196624,2022-01-26
46121,4.415307292225567,2.633468455579586,2022-01-26
46123,4.105510184769974,2.322219294733919,2022-01-26
46125,4.275771900164931,2.7923916894982534,2022-01-26
46127,4.580126325411582,2.672097857935717,2022-01-26
46129,4.084576277934331,2.3010299956639813,2022-01-26
46135,4.740520586053664,2.6901960800285134,2022-01-26
46137,3.7126497016272113,2.041392685158225,2022-01-26
47001,5.259498314030925,3.4533183400470375,2022-01-26
47003,5.104589527179371,3.320146286111054,2022-01-26
47005,4.573567773039217,2.9190780923760737,2022-01-26
47007,4.619197715792947,2.633468455579586,2022-01-26
47009,5.522105012275702,3.537819095073274,2022-01-26
47011,5.469542210771686,3.537819095073274,2022-01-26
47013,4.994317152669636,3.130333768495006,2022-01-26
47015,4.544811911757776,2.716003343634799,2022-01-26
47017,4.887167020894774,3.1271047983648073,2022-01-26
47019,5.134113329842323,3.45178643552429,2022-01-26
47021,4.9857856177726045,3.0170333392987803,2022-01-26
47023,4.692758818154724,2.924279286061881,2022-01-26
47025,4.865636887699628,3.173186268412274,2022-01-26
47027,4.282395504742525,2.643452676486187,2022-01-26
47029,4.992155711042616,3.271841606536499,2022-01-26
47031,5.160888516144974,3.3463529744506384,2022-01-26
47033,4.653309012938479,2.8750612633916997,2022-01-26
47035,5.139123134109579,3.4608978427565478,2022-01-26
47037,6.281610527013949,4.161966616364074,2022-01-26
47041,4.729407796963068,2.959041392321093,2022-01-26
47039,4.504606770641954,2.716003343634799,2022-01-26
47043,5.134878045195129,3.3364597338485296,2022-01-26
47045,5.048713638080969,3.2355284469075487,2022-01-26
47047,5.015611204503513,3.1522883443830563,2022-01-26
47049,4.676236216763311,3.02530586526477,2022-01-26
47051,5.038580425961578,3.173186268412274,2022-01-26
47053,5.176612099991867,3.3483048630481607,2022-01-26
47055,4.913548957906517,3.2013971243204513,2022-01-26
47057,4.760648619581357,2.982271233039568,2022-01-26
47059,5.269699697384373,3.4941545940184424,2022-01-26
47061,4.541579243946581,2.8195439355418683,2022-01-26
47063,5.238798562713916,3.4857214264815797,2022-01-26
47065,5.942727145365948,3.9912260756924947,2022-01-26
47067,4.222716471147583,2.462397997898956,2022-01-26
47069,4.819083075743703,3.0,2022-01-26
47071,4.865991800126276,3.0681858617461617,2022-01-26
47073,5.14097916347697,3.4099331233312946,2022-01-26
47075,4.7363168079041085,2.9190780923760737,2022-01-26
47077,4.885417765110936,3.093421685162235,2022-01-26
47079,4.845035993513415,3.103803720955957,2022-01-26
47081,4.774297938499277,2.9777236052888476,2022-01-26
47083,4.35869609957381,2.7481880270062007,2022-01-26
47085,4.605412798153051,2.785329835010767,2022-01-26
47087,4.42422807069598,2.7075701760979363,2022-01-26
47089,5.126910294600161,3.359835482339888,2022-01-26
47091,4.659726095237791,2.857332496431268,2022-01-26
47093,6.037657528955715,4.053846426852252,2022-01-26
47095,4.396024896608592,2.5314789170422554,2022-01-26
47097,4.841234295506041,2.9190780923760737,2022-01-26
47099,5.095936102180785,3.220108088040055,2022-01-26
47101,4.483587296968894,2.6901960800285134,2022-01-26
47103,4.9407156569066615,3.1367205671564067,2022-01-26
47105,5.093806775615175,3.1931245983544616,2022-01-26
47111,4.8593785044256,3.093421685162235,2022-01-26
47113,5.412359732368131,3.57287160220048,2022-01-26
47115,4.868526886768203,3.064457989226918,2022-01-26
47117,4.948559662108961,3.0334237554869494,2022-01-26
47119,5.411434502165004,3.4578818967339924,2022-01-26
47107,5.146902869928199,3.326335860928751,2022-01-26
47109,4.7918309476748355,2.959041392321093,2022-01-26
47121,4.463146136726349,2.681241237375587,2022-01-26
47123,5.091139153825754,3.3074960379132126,2022-01-26
47125,5.642306206385668,3.6937269489236466,2022-01-26
47127,4.2878017299302265,2.5314789170422554,2022-01-26
47129,4.695218918905151,2.8061799739838866,2022-01-26
47131,4.982904117792628,3.187520720836463,2022-01-26
